Service,Performance Measure Index,Performance Measure  Name,Alignment with Council Priority Area,2023 Value,2024 Value,Expected Future Value,Story behind the number,Performance Measure Status,Level of alignment,Approved by Service Director on
Building Safety,Performance Measure 2,Inspection booking dates with appointments available within the next two business days (per cent),Housing,38,36,80,"The number of building inspections booked in the first half of the year increased by 9%, reaching over 34,000.  Despite the rise in demand, the average time to book an inspection remained consistent with last year at four business days.  However, the increased demand continues to put pressure on booking availability within two business days.  To improve inspection booking capacity, the City hired additional staff and rolled out a non-standard 40 hour workweek for safety codes officers.  The City has also introduced enhancements to the Inspections Booking System and opened a dedicated Inspections Call Centre.",Not progressing as planned,Primary,07/11/2024
Building Safety,Performance Measure 3,Issued permits for new buildings with 5 or more storeys with an approved Public Protection Site Safety Plan (per cent),Public Safety,91,0,100,,Not reported,Not Applicable,
Building Safety,Performance Measure 4,New low-density dwellings with energy labelling (per cent),Not Applicable,8,0,80,,Not reported,Not Applicable,
Building Safety,Performance Measure 5,Average customer satisfaction survey result (per cent),Not Applicable,95,0,95,,Not reported,Not Applicable,
Business Licensing,Performance Measure 1,Business licence applications that have been submitted and completed online - Ease of Service (per cent),Not Applicable,76,0,80,,Not reported,Not Applicable,
Business Licensing,Performance Measure 2,Customer Satisfaction (per cent),Not Applicable,86,92,95,"Peaking at 92.5 per cent in May 2024, the average rate of satisfaction in 2024 Mid-Year was 91 per cent, based on responses from 491 completed surveys. Notably, we have seen a significant increase in both the number of customer surveys submitted and the positive survey results. Addressing areas of opportunities identified through survey feedback, such as intakes, and enhancing file management processes and accountability, will be the primary focus and motivation in pursuit of the determined 2026 target of 96 per cent satisfaction.",Progressing as planned,Primary,07/12/2024
Business Licensing,Performance Measure 3,Licence Issuance Timeline (per cent of business licence applications where issuance timeline commitments were met),Not Applicable,70,76,85,"As the volume of licences has steadily increased, the percentage of business licenses meeting their timeline commitments has kept pace. This performance extends to commercial licensing as well, noting a 22 per cent increase in new applications.

The average performance rate for the first five months of 2024 of 76 per cent has shown a significant increase compared to the same period in the previous year of 69.9 per cent. This upward trend shows our efforts are effective, but there's still room for improvement, highlighting the need for ongoing refinement of processes based on customer feedback.",Progressing as planned,Primary,07/12/2024
Business Licensing,Performance Measure 4,Business Opening Timeline (per cent of business licence applications for commercial-based businesses with licence issued on or before the intended open date),Not Applicable,53,0,90,,Not reported,Not Applicable,
Business Licensing,Performance Measure 5,Business Safety (per cent of business licensing complaints that received an initial response within four calendar days),Not Applicable,100,0,90,,Not reported,Not Applicable,
Bylaw Education & Compliance,Performance Measure 1,Bylaw calls for service resolved through education and voluntary compliance (per cent),Public Safety,97,97,96,"The service has responded to evolving needs of Calgarians by adapting existing strategies for engagement, education and enforcement practices. Emphasizing ""education before enforcement"" has resulted in high compliance rates. Community safety peace officers attended 2,983 calls from 311 to ensure compliance with water use restrictions during the water feeder main emergency.",Progressing as planned,Primary,07/11/2024
Bylaw Education & Compliance,Performance Measure 2,Satisfaction with the job The City is doing providing Bylaw Education & Compliance service (per cent of Calgarians satisfied),Not Applicable,80,0,86,,Not reported,Not Applicable,
Bylaw Education & Compliance,Performance Measure 3,Average response time to priority one 3-1-1 calls by bylaw officers (hours),Not Applicable,3,0,1,,Not reported,Not Applicable,
Bylaw Education & Compliance,Performance Measure 4,Number of derelict or abandoned properties demolished or remediated,Public Safety,40,13,50,"The Coordinated Safety Response Team (Problem Properties Team) continues to achieve positive outcomes in communities, with 13 properties demolished this year. As the team expands, the service remains committed to developing and maintaining an established response and monitoring program to address the wide range of problem properties, aiming to meet the expected performance targets for 2026.",Progressing as planned,Primary,07/11/2024
Bylaw Education & Compliance,Performance Measure 5,Number of responses to encampment sites,Public Safety,11065,4121,5600,"Since January, there have been 4,121 responses to encampment sites by peace officers, including subsequent visits, representing a 30 per cent increase in complaints and 25 per cent increase in responses compared to the same period in 2023. Addressing encampments necessitates a collaborative effort between the Encampment Team and support services. Through this coordination, peace officers uphold public safety and safeguard the unhoused community.",Progressing as planned,Primary,07/11/2024
Calgary 9-1-1,Performance Measure 1,Initial 9-1-1 calls answered within 15 seconds (per cent),Public Safety,95,97,95,The service continues to meet or exceed the target but strives to continuously improve this metric through training and technology and policy enhancements. This metric stems from the Alberta 9-1-1 Standard to provide prompt and reliable answering of emergency calls to benefit customers and resolve their emergency situations as promptly as possible.,Progressing as planned,Primary,07/11/2024
Calgary 9-1-1,Performance Measure 2,Police 9-1-1 calls answered within 15 seconds (per cent),Public Safety,72,73,95,"Calgary 9-1-1 has been working to improve its performance on police call answer time to reduce the number of citizens, calling 9-1-1 with a police emergency, waiting on the line longer than 15 seconds. These initiatives include recruitment of new police call-taking staff as approved in the new 2023-2026 budget and continuous improvement of internal policies and practices.",Progressing as planned,Primary,07/11/2024
Calgary 9-1-1,Performance Measure 3,Satisfaction with the job The City is doing in providing 9-1-1 services (per cent of Calgarians satisfied),Not Applicable,84,91,95,"Calgary 9-1-1 has seen a 7 per cent increase in citizen satisfaction over 2023. Calgary 9-1-1 has addressed some past challenges that impact this metric through ongoing recruitment, staff training and efforts to reduce call wait times. The service also conducted a successful social media campaign to increase public awareness and understanding of the 9-1-1 service and continues to engage and educate the public at community events, school visits and other outreach activities.",Progressing as planned,Secondary,07/11/2024
Calgary 9-1-1,Performance Measure 4,Average answer time for Police non-emergency calls (minutes),Public Safety,5,4,1,"The service is committed to providing timely service for both emergency and non-emergency calls. To enhance the quality of service, Calgary 9-1-1 is focusing on recruiting qualified staff and continuously improving processes and technology.  
 
Calgary is assessing the need to adjust the future performance target for Police non-emergency call answer time. As part of this research, Calgary 9-1-1, in collaboration with Calgary Police Service, is surveying other Canadian 9-1-1 centers to gather information to be able to compare its targets and operational practices for non-emergency call-answering.",Not progressing as planned,Primary,07/11/2024
Calgary 9-1-1,Performance Measure 5,Number of emergency call transfers to the 2-1-1 Distress Centre,Public Safety,3223,1499,2000,"Calgary 9-1-1 successfully transferred 1499 emergency calls to the 2-1-1 Distress Centre. The reallocation of 211 to the 911 call center has enhanced collaboration among communication officers and accelerated call transfers. This achievement is highly impactful to the population experiencing vulnerabilities and callers in crisis, who benefit from being connected to the right resource and service.",Progressing as planned,Primary,07/11/2024
Citizen Engagement & Insights,Performance Measure 1,Participation in decision-making (per cent of Calgarians that say The City allows them to have meaningful input into decision-making),Social Equity,51,53,63,"This service provides City decision-makers with diverse perspectives from Calgarians. After a significant decline from the spring 2023 survey, perceptions of how well The City is meeting expectations for participation in decision-making has increased to 53 per cent in spring 2024 (up two percentage points from fall 2023). Despite being on par with municipal benchmarks, the current trend of declining public trust will impact the service's ability to meet the expected future performance of 63 per cent. The focus remains on providing Calgarians with inclusive and accessible opportunities for input into City programs and services.",Not progressing as planned,Secondary,07/03/2024
Citizen Engagement & Insights,Performance Measure 2,Research contribution (per cent of customers who indicate research results contributed to decision-making),Not Applicable,84,0,65,,Not reported,Not Applicable,
Citizen Engagement & Insights,Performance Measure 3,Engagement projects that report back to participants on how input was used (per cent),Not Applicable,59,0,65,,Not reported,Not Applicable,
Citizen Engagement & Insights,Performance Measure 4,Engagement participants who indicate that the engagement gave them the chance to provide input on issues or decisions that are important to them (per cent),Not Applicable,90,0,90,,Not reported,Not Applicable,
Citizen Engagement & Insights,Performance Measure 5,Opportunities for input (per cent of Calgarians who agree they have enough opportunities to provide input into decision-making about City projects and services),Social Equity,52,56,65,"Calgarians expect sufficient opportunities for input in City decision-making. Perceptions about input opportunities rose slightly to 56 per cent in spring 2024 (up four percentage points from fall 2023), but remains below the 63 per cent in spring 2023. Despite surpassing the municipal benchmark for input opportunities, the diminishing trust in government makes it unlikely to meet the expected future performance of 65 per cent. The service remains committed to meeting the growing expectations of Calgarians by providing more input opportunities in 2024.",Not progressing as planned,Secondary,07/03/2024
Citizen Information & Services,Performance Measure 1,311 Satisfaction (per cent of Calgarians satisfied with the 311 service),Social Equity,0,90,90,"High satisfaction with The City’s 311 service is crucial for maintaining customer trust. In 2024, 90 per cent of respondents expressed satisfaction with the 311 service, marking the highest score since 2021 and underscoring 311's status as a key strength of The City, where both importance and satisfaction are high. Enhancements introduced at the end of 2023, such as a call-back feature, an on-call agent pool, and a new quality assurance program, have reduced wait times and contributed positively to overall satisfaction with the 311 service.",Progressing as planned,Secondary,07/03/2024
Citizen Information & Services,Performance Measure 2,Calgary.ca Satisfaction (per cent of Calgarians satisfied with the City of Calgary website),Not Applicable,0,84,84,"Satisfaction with Calgary.ca depends on easy and reliable access to online information and services. The Spring Survey of Calgarians shows high satisfaction with The City's primary communications channel, with 84 per cent of respondents viewing Calgary.ca positively. This is the highest score since 2020, reflecting an upward trend in public perception and aligning with recent capital investments in the service. The service plans to deliver innovative, customer-centric projects throughout the business cycle, ensuring continued access to information and services for Calgarians to complete their tasks online.",Progressing as planned,Secondary,07/03/2024
Citizen Information & Services,Performance Measure 3,Telephone Service Factor (per cent of calls answered in 60 seconds or less),Not Applicable,36,0,80,,Not reported,Not Applicable,
Citizen Information & Services,Performance Measure 4,Calls Abandoned (per cent of customers who chose to hang up before reaching a 311 agent),Not Applicable,21,0,7,,Not reported,Not Applicable,
Citizen Information & Services,Performance Measure 5,Maturity in User Experience Consulting (per cent of new web projects that include User Experience consulting),Not Applicable,58,0,100,,Not reported,Not Applicable,
Financial Support,Performance Measure 1,City of Calgary Credit Rating,Not Applicable,0,0,0,"We continue to have one of the best municipal credit ratings in Canada. The City maintained its AA+ and AA (high) ratings with S&P Global Ratings and Morningstar DBRS respectively, with strong financial management practices and proven capacity to enact prudent fiscal policies and plans to respond to external risks cited as key contributors",Progressing as planned,Primary,07/15/2024
City Cemeteries,Performance Measure 1,Total Interments,Not Applicable,1646,679,1455,"This measure represents annual burial plot, cremation and mausoleum interments. The 2024 mid-year value of 679 interments reflects the total number of interments from January to June. This result is lower than previous years for the same period. The supply of casket burials at Queen’s Park Cemetery has diminished. There is more burial space are available at Prairie Sky Cemetery, but there has been a slow uptake at this location. To elevate public awareness of options at Prairie Sky Cemetery, the service has increased marketing efforts and provides alternative interment products such as green burials.",Progressing as planned,Primary,07/16/2024
City Cemeteries,Performance Measure 2,Cemetery Interment Revenue (thousands of dollars),Not Applicable,1588,676,2227,"This measure captures annual burial plot, cremation and mausoleum interment revenues. In 2022, revenue exceeded projections after negative and inflationary impacts affected revenue in 2020 and 2021. The 2024 mid-year revenue was $676,000, which was higher than the 2023 mid-year value of $603,000. A gradual increase in revenue was expected as prices have incrementally increased due to market and inflation. Overall, revenues have been impacted by the loss of inventory at Queen’s Park Cemetery. The service is planning for the gradual growth of interments at Prairie Sky Cemetery through marketing efforts and diversified product selection.",Progressing as planned,Not Applicable,07/16/2024
City Cemeteries,Performance Measure 3,Perpetual Care Fund Total (thousands of dollars),Not Applicable,27204,0,11692,,Not reported,Not Applicable,
City Cemeteries,Performance Measure 4,Eco-Friendly Interments,Climate,7,3,20,"Green burials were introduced in 2021 and are an interment option at Prairie Sky Cemetery. Green burials offer a dignified option and minimize environmental impacts by preserving habitat and reducing carbon emissions. Green burials are located in a natural area at the cemetery, and feature the use of non-toxic and biodegradable materials, such as ecofriendly caskets and burial shrouds. At mid-year, there were 3 eco-friendly interments. This has met our goal for mid-year.",Progressing as planned,Primary,07/16/2024
City Cemeteries,Performance Measure 5,Income-Assisted Interments,Social Equity,45,44,70,"City Cemeteries operates under a not-for-profit business model. We offer a wide variety of dignified, value-based services and pricing options for all Calgarians. In addition, City Cemeteries provides services to customers in financial constraints who may not be able to afford interment services provided by private cemetery providers. This measure shows the number of customers participating in Provincially sponsored Social Assistance Programs that The City interment spaces to at reduced rates. At mid-year, there were 44 income-assisted interments, which has exceeded our expectations.",Progressing as planned,Primary,07/16/2024
City Planning & Policy,Performance Measure 1,Downtown Surplus Office Inventory Reduction (million sq ft),Downtown Revitalization,1,2,3,"Square footage reduced is the anticipated amount of vacant office space being converted from office to residential use as indicated in plans associated with project applications. Final confirmation of square footage would occur at project completion/building occupancy. 

To-date, 12 projects have been approved through the Downtown Calgary Development Inventive Program, creating over 1,556 new homes and removing approximately 1.67 million square feet of vacant office space.",Progressing as planned,Primary,07/11/2024
City Planning & Policy,Performance Measure 2,Calgarians living in communities where a modernized Local Area Plan has been recommended to Council for approval (per cent),Land Use & Local Area Planning,9,9,25,"Five Local Area Plans (LAPs) are underway in 2024, covering 46 communities and three industrial areas. The East Calgary International Avenue Communities (formerly the Greater Forest Lawn LAP) and Riley Communities LAPs are on track to be delivered to Council for consideration by Q4 2024, and will add 13 communities and two industrial areas to the total inventory of communities with modernized LAPs.",Progressing as planned,Primary,07/11/2024
City Planning & Policy,Performance Measure 3,"Land area where middle density housing is allowed, per 100,000 Calgarians (hectares)",Land Use & Local Area Planning,311,495,340,"Due to consecutive years of strong migration, the rate of Calgary’s population growth was outpacing the rate of middle density zoning availability. The supply of land area where middle density housing is allowed has struggled to keep up with rising demand. 

In May 2024, Council approved Rezoning for Housing, rezoning low density residential parcels to enable middle density development and allow for more housing options in communities across the city. Implementation of the rezoning to a base residential district is scheduled for August 6, 2024, though the impact of these changes will require time to be realized.",Progressing as planned,Primary,07/11/2024
City Planning & Policy,Performance Measure 4,"Land area designated for industrial uses, per 100,000 Calgarians (hectares)",Land Use & Local Area Planning,434,432,575,"Industrial development faces conversion pressures from non-industrial uses, including proposals for residential, due to airport vicinity legislation changes. Higher costs compared to neighbouring municipalities have also challenged industrial development. To address this, the 2023 Industrial Action Plan includes initiatives to enable industrial growth by updating the policy and regulatory environment, exploring financial incentives and identifying strategic considerations when land use conversions are proposed.

A reliable value for 2022 could not be provided due to an error in land use data. The 2023 value has been recalculated for accuracy.",Progressing as planned,Primary,07/18/2024
City Planning & Policy,Performance Measure 5,Serviced land supply for new communities (hectares),Land Use & Local Area Planning,1818,1500,1250,"Serviced land is vacant land that has an Area Structure Plan and infrastructure for transportation, water, sanitary, storm and emergency service, making it ready for development.

The reduction of serviced land supply in 2024 reflects accelerated absorption in new communities. Based on growth expectations, the current inventory of serviced land represents land supply which is above the Municipal Development Plan's target of 3-5 years of serviced land supply.

Improvements to data analysis in 2022 resulted in land supply data being available for the same year it is reported instead of the year prior, so no land supply data was produced in 2021",Progressing as planned,Secondary,07/11/2024
Climate & Environmental Management,Performance Measure 1,Environmentally Significant Area protected and conserved in greenfield development (per cent of ESA protected or restored calculated at land use amendment/outline plan approval),Not Applicable,81,0,60,,Not reported,Not Applicable,
Climate & Environmental Management,Performance Measure 2,Number of sites assessed annually - Contaminated Site Management,Climate,988,600,893,"Mid year 2024, 600 sites have been assessed for contamination. This is consistent with the number of sites assessed for contamination mid year 2023.",Progressing as planned,Primary,07/12/2024
Climate & Environmental Management,Performance Measure 3,Number of properties within 1:100 River Flood Extent - Flood Exposure Risk,Not Applicable,3396,0,1590,,Not reported,Not Applicable,
Climate & Environmental Management,Performance Measure 4,Tracking Adaptation and Measuring Development (TAMD) Scorecard (rating),Not Applicable,55,0,60,,Not reported,Not Applicable,
Climate & Environmental Management,Performance Measure 5,"Measured amount of carbon dioxide (CO2) equivalent (e) released - Corporate Greenhouse Gas Emissions (1,000 tonnes CO2e (kilotonnes))",Climate,0,405,347,"Market-based corporate greenhouse gas (GHG) emissions have been below 2005 baseline levels since 2012, when The City began procuring Renewable Energy Certificates (RECs) to offset electricity consumption. 2023 Market-based Corporate GHG emissions are 42 per cent lower than 2005 levels. Several projects were initiated to reduce GHGs (updated Sustainable Building Policy, Business Unit GHG Reduction Plans & the Centralized Climate Fund). In 2024, The City completed a second-party review of its GHG emissions inventory and updated its methodology and emissions factors with the most recent National Inventory Report to enhance reporting accuracy. This review resulted in updates to the 2005 baseline value, historically reported emissions values and the 2026 target, which resulted in changes to this metric.",Progressing as planned,Primary,07/12/2024
Community Strategies,Performance Measure 1,"Partners, collaborators and advisory board members who agree that Community Strategies is helping prevent social and community issues (per cent).",Social Equity,84,0,85,,Not reported,Primary,
Community Strategies,Performance Measure 2,"Partners, collaborators and advisory board members who agree that Community Strategies is helping to remove barriers to participation in civic life (per cent).",Social Equity,71,0,90,,Not reported,Primary,
Community Strategies,Performance Measure 3,Agreement that the Anti-Racism Action Strategy is impactful in removing systemic racism (per cent).,Social Equity,0,0,85,"The existing performance measure was developed in 2022 as a placeholder, prior to the launch of the Anti-Racism Strategic Plan and Framework, and data has not been collected on it. Instead, quarterly updates were provided directly to Council on the Anti-Racism Program.  A replacement performance measure will be brought to Council for approval at the 2024 Mid-Cycle Budget Adjustments, to better align to current focus areas within the Anti-Racism Strategic Plan.",Progressing as planned,Primary,07/29/2024
Community Strategies,Performance Measure 4,Financial Empowerment program participants that report being less stressed about their financial situation than they were a year ago (per cent).,Social Equity,32,0,45,,Not reported,Primary,
Community Strategies,Performance Measure 5,Social inclusion program participants that report feeling they have someone to enjoy their time with compared to a year ago (per cent).,Social Equity,72,71,80,"A sense of social connection among residents is critical to a socially resilient Calgary. It is also an outcome area of Family and Community Support Services (FCSS) programs. This measure compares responses of FCSS program participants before and after program completion. Based on data that funded organizations have shared for the first six months of 2024, we estimate that feelings of social isolation have declined for a significant number of post-program participants.",Progressing as planned,Primary,07/23/2024
Corporate Governance,Performance Measure 1,Policies up to date (per cent),Not Applicable,55,35,70,"Interpretation of the up-to-date policy measure has been adjusted for 2024. Only policies that have completed an overall review following the Corporate process are now counted. This has resulted in reduction of Administration policies up to date as of this quarter. However, by no longer counting polices that have had a targeted change without a full review, this calculation now better demonstrates the proportion of policies that are current, relevant and responsive to current risks and opportunities. Through work currently in progress, this measure is still expected to achieve its 2026 target. of 70% of policies up-to-date.",Progressing as planned,Not Applicable,07/12/2024
Corporate Governance,Performance Measure 2,Businesses Supported by Business and Local Economy (BLE),Downtown Revitalization,1900,700,3000,"Other than Digital Service Squad, most of the rest of our work during the last six months involved indirect assistance to businesses. We have served 424 businesses directly through that program this year (completed service plans). We have also presented to many entrepreneurs through Build your Business programs offered by community partners such as Calgary Catholic Immigration Services.",Progressing as planned,Secondary,07/12/2024
Corporate Governance,Performance Measure 3,"Respondents who answer favorably about whether they consider The City to be ""business-friendly"" (per cent)",Not Applicable,33,33,60,"In the latest Business Perspectives Panel survey (end of 2024), 33 per cent of respondents said that The City supported a positive business environment citing ""lack of vision"" ""high taxes"" and ""social disorder"" as barriers to improving the business environment.",Not progressing as planned,Not Applicable,07/12/2024
Corporate Governance,Performance Measure 4,City and community participants who report being better able to understand and/or apply resilient qualities or futures thinking to their work (per cent),Social Equity,0,86,70,"Strategic Foresight methodology offers a powerful toolkit for de-risking strategy against future disruptions, ensuring a more resilient and sustainable City. The training and workshops offered since January 2024 resulted in 86 per cent of participants feeling that the insights and tools acquired are useful for their work, with 81 per cent leaving the sessions with a strong understanding of how they will apply the new information.  

Furthermore, 81 per cent of participants felt that the training/workshop helped facilitate new ideas about possible futures which, in turn, will foster greater resilience for The City and Calgarians.",Progressing as planned,Secondary,07/12/2024
Corporate Governance,Performance Measure 5,Professional members who have completed Professional Practice Management Plan training within the past 2 years (per cent),Public Safety,91,91,100,The City has gone from about 70 per cent compliance to 90.7 per cent compliance in the last 4 quarters.,Progressing as planned,Secondary,07/12/2024
Corporate Security,Performance Measure 1,Number of threat risk assessments and security consultations conducted by year,Public Safety,366,288,271,"Corporate Security assesses threats and consults on security matters to proactively identify and mitigate risks throughout the corporation. This year, 288 threat risk assessments and security consultations related to physical security, cyber security, events, and employees have been conducted. A dedicated resource for this work has led to a notable rise in the amount of physical security threat risk assessments. Employee support services have reduced by about half compared to the same period last year. The reduction may be related to the training and education that staff receive on situational awareness and how to safeguard themselves.",Progressing as planned,Secondary,07/08/2024
Corporate Security,Performance Measure 2,Number of incidents including social disorder,Public Safety,1953,673,1706,"In the first five months of 2024, the number of incidents related to social disorder have slightly decreased compared to previous years. Regardless, 673 incidents speak to the ongoing presence of social disorder in and around City sites. Corporate Security closely monitors this measure to maintain a safe and secure environment for its employees and the citizens of Calgary.",Progressing as planned,Secondary,07/08/2024
Corporate Security,Performance Measure 3,Number of security responses to distress,Public Safety,504,141,214,"Corporate Security responds to distressing situations that involve administering First Aid, managing mental health emergencies and drug poisonings, which can lead to the use of Naloxone. Corporate Security continues to patrol LRT stations, an expansion that commenced in October of 2022.",Progressing as planned,Secondary,07/08/2024
Corporate Security,Performance Measure 4,Number of security education sessions delivered,Not Applicable,61,64,434,"This mid-year value has already surpassed the total number of security education sessions delivered in 2023. Reasons for this increase may include security incidents observed by employees, employee interactions with members of the public and work areas proactively training their public facing staff. Also, an increasing awareness that Corporate Security provides this service may have contributed to this rise.",Progressing as planned,Secondary,07/08/2024
Corporate Security,Performance Measure 5,Number of investigations - policy breaches,Not Applicable,116,52,112,"Corporate Security investigates allegations of Corporate Administration Policy breaches. The main policies investigated from January to end of May 2024 were the Labour Relations policy and the Workplace Violence Prevention policy. Corporate Security continues to collaborate with Labour Relations, Human Resources and Law to identify policy breaches and address their underlying causes.",Progressing as planned,Secondary,07/08/2024
Council & Committee Support,Performance Measure 1,Number of recognition and protocol activities per year,Not Applicable,1067,532,845,"Demand for protocol activities and services has remained steady for the first half of 2024.

The City Clerk’s Office continues to support requests for flag raisings, courtesy calls and delegation visits, letters of recognition and proclamations and opening remarks for the Mayor or Deputy Mayor.

The Calgary Awards were successfully delivered in June.

In 2024, the Municipal Complex tour program and Quebec City/Calgary exchange program are undergoing review and improvement opportunities.",Progressing as planned,Not Applicable,07/10/2024
Council & Committee Support,Performance Measure 2,Accurate and on-time Council and Council Committee minutes publication rate (per cent),Not Applicable,92,94,96,"Out of the 65 Council and Committee meeting minutes that were published, 4 sets of minutes were published late or had minor clerical corrections.",Progressing as planned,Not Applicable,07/10/2024
Council & Committee Support,Performance Measure 3,Hours of Council and Council Committee Meetings (hours per month),Not Applicable,53,67,66,"The number of Council and Council Committee meetings has continued at a steady rate. 

The 2024 April 22 Public Hearing Meeting of Council on citywide rezoning was the largest public hearing in the City’s history and impacted the overall hours of Council and Committee Meetings being reported at mid-year.",Progressing as planned,Not Applicable,07/10/2024
Council & Committee Support,Performance Measure 4,Applicants who self-identify as a member of a minority group (per cent),Social Equity,51,0,50,Not reported at mid-year,Not reported,Secondary,07/10/2024
Council & Committee Support,Performance Measure 5,"Boards, Commissions and Committees' leadership's rate of satisfaction with governance support (per cent)",Not Applicable,85,0,0,Not reported at mid-year.,Not reported,Not Applicable,07/10/2024
"Data, Analytics & Information Access",Performance Measure 1,Annual number of mapping product views on calgary.ca - Web Mapping Views,Land Use & Local Area Planning,2239000,2097334,2620000,"Beginning in 2024, view counts encompassed all publicly accessible maps, including featured mapping products on calgary.ca that utilize feature services managed by Geospatial Business Solutions (GBS). Additionally, views exceeded expectations due to increased viewership of traffic-related maps during weather events.",Progressing as planned,Secondary,07/11/2024
